"user_id","image_paths","user_claim","claim_object"
"user_002","images/test/case_001/img_1.jpg;images/test/case_001/img_2.jpg","Customer: Morning. I parked near office and later noticed something off in the front. | Agent: Is this about one part or multiple parts? | Customer: Two things, I think. The front bumper looks damaged and the left headlight also looks affected. | Agent: Should we review both as part of this claim? | Customer: Yes, front bumper and left headlight together.","car"
"user_005","images/test/case_003/img_1.jpg","Customer: Need to file a car damage claim. | Agent: What part of the car? | Customer: Door. | Agent: Scratch, dent, or paint issue? | Customer: A deep dent on the door panel. It was not there before.","car"
"user_demo_01","images/test/case_003_contradicted_demo/img_1.jpg","Customer: There is a dent on my car door. | Agent: Which side? | Customer: Driver side door, fairly deep dent. | Agent: Anything else damaged? | Customer: No, just the door dent.","car"
"user_demo_02","images/test/case_insufficient_demo/img_1.jpg","Customer: I think my car got damaged overnight in the parking lot. | Agent: What part of the car? | Customer: I am not totally sure, maybe the front. It was dark when I took the photo. | Agent: Can you describe the damage? | Customer: Possibly a scratch or dent near the headlight, hard to tell.","car"
"user_017","images/test/case_017/img_1.jpg;images/test/case_017/img_2.jpg","Customer: Mi laptop se cayo de la mesa. | Support: What damage are you reporting? | Customer: La pantalla esta cracked, the screen has a crack. | Support: Is keyboard or hinge also part of this? | Customer: No, only laptop screen crack.","laptop"
"user_028","images/test/case_028/img_1.jpg","Customer: The laptop hinge area is damaged. | Support: What damage is visible? | Customer: The hinge looks broken and does not sit properly. | Support: Is the screen or keyboard part of this claim? | Customer: No, please review the hinge damage only.","laptop"
"user_demo_03","images/test/case_017_contradicted_demo/img_1.jpg","Customer: My laptop screen is cracked after a fall. | Support: Can you describe where on the screen? | Customer: Somewhere in the middle, a noticeable crack. | Support: Got it, we will review the screen. | Customer: Thanks, the photo shows the crack clearly.","laptop"
"user_029","images/test/case_029/img_1.jpg","Customer: Parcel receive hua toh corner dab gaya tha. | Support: Aap item damage claim kar rahe hain ya packaging? | Customer: Sirf package corner damage. Item abhi open nahi kiya. | Support: Full view aur close-up dono upload kiya? | Customer: Haan, package corner crushed hai.","package"
"user_030","images/test/case_030/img_1.jpg","Customer: Package seal side se open jaisa lag raha tha. | Agent: Torn-open package claim? | Customer: Haan, mujhe lag raha hai package torn open tha. | Agent: Missing item bhi hai? | Customer: Nahi, sirf package torn-open review.","package"
"user_demo_04","images/test/case_water_contradicted_demo/img_1.jpg","Customer: My delivery box has water damage. | Support: Did you upload a photo of the wet package? | Customer: Yes, the box got soaked and the label is hard to read now. | Support: We will review the photo for water staining. | Customer: Thanks, please check the box and label.","package"
